beta_b,beta_w,botnet
0.7,6.5,0.10783272727272725
0.7,6.6,0.09244000000000001
0.7,6.7,0.12655737704918033
0.7,6.8,0.12087868852459017
0.7,6.9,0.0953804347826087
0.7,7.0,0.08108484848484848
0.7,7.1,0.08826842105263158
0.7,7.2,0.0937859375
0.7,7.3,0.07799431818181818
0.7,7.4,0.05006818181818182
0.7,7.5,0.07853454545454547
0.7,7.6,0.05328987341772151
0.7,7.7,0.08177450980392156
0.7,7.8,0.03386315789473684
0.7,7.9,0.04063157894736843
0.7,8.0,0.07450943396226414
0.7,8.1,0.033404081632653064
0.7,8.2,0.04274905660377359
0.7,8.3,0.037527868852459026
0.7,8.4,0.019341176470588237
0.7,8.5,0.0164
0.7,8.6,0.0324344262295082
0.7,8.7,0.014328070175438598
0.7,8.8,0.019728070175438598
0.7,8.9,0.010807692307692308
0.7,9.0,0.033007843137254904
0.7,9.1,0.02711447368421053
0.7,9.2,0.020780392156862747
0.7,9.3,0.026502631578947364
0.7,9.4,0.014999999999999998
0.7,9.5,0.02526231884057971
0.7,9.6,0.0062102564102564095
0.7,9.7,0.007558904109589042
0.7,9.8,0.018814545454545452
0.7,9.9,0.006883823529411765
0.7,10.0,0.01896923076923077
0.8,0.1,1.0
0.8,0.2,1.0
0.8,0.3,1.0
0.8,0.4,1.0
0.8,0.5,1.0
0.8,0.6,1.0
0.8,0.7,0.9725
0.8,0.8,1.0
0.8,0.9,1.0
0.8,1.0,0.9214666666666668
0.8,1.1,0.9459
0.8,1.2,0.9380176470588236
0.8,1.3,1.0
0.8,1.4,0.8804666666666666
0.8,1.5,0.8449333333333334
0.8,1.6,0.805
0.8,1.7,0.82955
0.8,1.8,0.7680153846153845
0.8,1.9,0.7607307692307692
0.8,2.0,0.7049727272727272
0.8,2.1,0.7199322580645161
0.8,2.2,0.6758409090909091
0.8,2.3,0.699425
0.8,2.4,0.6455388888888888
0.8,2.5,0.6326444444444443
0.8,2.6,0.5789454545454547
0.8,2.7,0.5958259259259259
0.8,2.8,0.5883794871794872
0.8,2.9,0.5568458333333334
0.8,3.0,0.5567621621621622
0.8,3.1,0.5264769230769232
0.8,3.2,0.49922500000000003
0.8,3.3,0.5084266666666667
0.8,3.4,0.4377869565217391
0.8,3.5,0.46042222222222207
0.8,3.6,0.42051250000000007
0.8,3.7,0.3992413793103448
0.8,3.8,0.4341739130434783
0.8,3.9,0.41291666666666665
0.8,4.0,0.36838717948717953
0.8,4.1,0.3959208333333333
0.8,4.2,0.37617857142857136
0.8,4.3,0.31648139534883724
0.8,4.4,0.34416458333333333
0.8,4.5,0.32822790697674414
0.8,4.6,0.38581282051282056
0.8,4.7,0.32443902439024386
0.8,4.8,0.27795
0.8,4.9,0.3225131578947368
0.8,5.0,0.2868428571428572
0.8,5.1,0.271253488372093
0.8,5.2,0.2551636363636363
0.8,5.3,0.19334823529411765
0.8,5.4,0.24826984126984128
0.8,5.5,0.20502631578947367
0.8,5.6,0.20131470588235295
0.8,5.7,0.15980172413793103
0.8,5.8,0.18907857142857143
0.8,5.9,0.21325882352941178
0.8,6.0,0.17126037735849056
0.8,6.1,0.15674444444444444
0.8,6.2,0.17625384615384612
0.8,6.3,0.175497619047619
0.8,6.4,0.13499166666666668
0.8,6.5,0.12459701492537315
0.8,6.6,0.12787272727272728
0.8,6.7,0.1276869565217391
0.8,6.8,0.11580909090909093
0.8,6.9,0.10233661971830986
0.8,7.0,0.0957530612244898
0.8,7.1,0.11878235294117648
0.8,7.2,0.10831571428571429
0.8,7.3,0.1001
0.8,7.4,0.08488
0.8,7.5,0.06586825396825396
0.8,7.6,0.06443275862068965
0.8,7.7,0.06088076923076924
0.8,7.8,0.055752112676056335
0.8,7.9,0.07649482758620688
0.8,8.0,0.08000333333333334
0.8,8.1,0.04871555555555554
