"beta","epsilon","protected","low","high"
5,0.2,0.026838,0.019064,0.038321
5,0.3,0.325522727272727,0.255155340301992,0.394227272727273
5,0.4,0.348,0.241056364452289,0.461189189189189
5,0.5,0.613388888888889,0.517966480792219,0.685529171482592
5,0.6,0.713367346938776,0.613293364485633,0.779584806349676
5,0.7,0.844581818181818,0.769690909090909,0.875337319505083
5,0.8,0.827,0.745293806917195,0.871419059902115
5,0.9,0.883714285714285,0.812583386372491,0.911865990312798
5,1,0.893209677419355,0.828755111168553,0.922274193548387
5,1.1,0.845035087719298,0.752691714840443,0.894786801696035
5,1.2,0.921041666666667,0.859665103397851,0.935319444444444
5,1.3,0.926677966101695,0.861017694036319,0.94364406779661
5,1.4,0.944712328767123,0.94154794520548,0.947835616438356
5,1.5,0.905957142857143,0.838654742131927,0.934524437174318
5,1.6,0.953480519480519,0.950883116883117,0.955805194805194
5,1.7,0.956111111111111,0.953071006750338,0.95875
5,1.8,0.959477611940298,0.957179104477612,0.961462686567164
5,1.9,0.959121621621622,0.956337837837838,0.961716216216216
5,2,0.948054794520548,0.895070344414671,0.961739726027397
5.5,0.1,0,0,0
5.5,0.2,0.04842,0.02964,0.073975
5.5,0.3,0.4112,0.32038989398309,0.495170021895685
5.5,0.4,0.550931818181818,0.441681815579869,0.639715414558211
5.5,0.5,0.784196428571429,0.70992568273863,0.828482977135931
5.5,0.6,0.833207547169811,0.749781327016593,0.87066037735849
5.5,0.7,0.864626865671642,0.797143545980685,0.895582095091942
5.5,0.8,0.907887096774194,0.836668896619689,0.924129032258064
5.5,0.9,0.914107692307692,0.854915961173234,0.929430769230769
5.5,1,0.894190476190476,0.819248288018274,0.926031746031746
5.5,1.1,0.934716216216216,0.871955506905196,0.948418918918919
5.5,1.2,0.923469696969697,0.854072891783395,0.951075757575758
5.5,1.3,0.954704225352113,0.951901408450704,0.95725352112676
5.5,1.4,0.958815384615385,0.956,0.9614
5.5,1.5,0.950416666666666,0.885736471150392,0.964138888888889
5.5,1.6,0.968758064516129,0.966467773115896,0.970951612903226
5.5,1.7,0.968053333333333,0.965746666666666,0.97012
5.5,1.8,0.971466666666667,0.968983333333333,0.973516666666667
5.5,1.9,0.971297297297297,0.969243243243243,0.973067567567567
5.5,2,0.961386666666667,0.908320028894284,0.974706666666667
6,0.1,0,0,0
6,0.2,0.081115,0.047454,0.125109
6,0.3,0.51563829787234,0.416268518328089,0.596651784874356
6,0.4,0.686,0.587960042861092,0.753700860528944
6,0.5,0.789483870967742,0.706586982483546,0.839306451612903
6,0.6,0.837672413793103,0.752613877268425,0.887086206896552
6,0.7,0.867046153846154,0.785606803655567,0.908008620358829
6,0.8,0.894176470588235,0.824971024968945,0.923555566379132
6,0.9,0.934470588235294,0.878554415210772,0.949308823529412
6,1,0.938524590163934,0.861976705461602,0.955081967213115
6,1.1,0.9477375,0.896144599473513,0.9603875
6,1.2,0.939405063291139,0.880225142320629,0.963012658227848
6,1.3,0.915959459459459,0.839133682177029,0.954121621621622
6,1.4,0.970746835443038,0.968898734177216,0.972443037974683
6,1.5,0.973421875,0.97134375,0.975453125
6,1.6,0.964275,0.904182884018142,0.976725
6,1.7,0.964068493150685,0.910461716082512,0.977821917808219
6,1.8,0.978383333333333,0.9768,0.979933333333333
6,1.9,0.978014925373134,0.976492537313433,0.979402985074627
6,2,0.981297297297297,0.979743243243243,0.982635135135135
6.5,0.1,0.014967,0.012,0.0189
6.5,0.2,0.105674,0.072077,0.146307
6.5,0.3,0.480391304347826,0.376046213740847,0.574600360826159
6.5,0.4,0.716122807017544,0.626799254342,0.785350877192982
6.5,0.5,0.809384615384615,0.725764454643183,0.864171818001113
6.5,0.6,0.850680555555556,0.774829276838239,0.899291666666667
6.5,0.7,0.889514285714286,0.819966058494976,0.928314285714286
6.5,0.8,0.922646153846154,0.850607359081527,0.950907692307692
6.5,0.9,0.91755223880597,0.845084270913311,0.947641791044776
6.5,1,0.964441176470588,0.961794117647059,0.96675
6.5,1.1,0.954472972972973,0.890015295790158,0.968148648648649
6.5,1.2,0.970821917808219,0.96858904109589,0.972698630136986
6.5,1.3,0.975972602739726,0.974164383561644,0.977506849315069
6.5,1.4,0.975851351351351,0.974040540540541,0.977689189189189
6.5,1.5,0.981808219178082,0.980616438356164,0.982876712328767
6.5,1.6,0.969013333333333,0.916301329350723,0.982413333333333
